* Problem:    Airplane Landing Problem
* Class:      MIP
* Rows:       590
* Columns:    440 (380 integer, 380 binary)
* Non-zeros:  1960
* Format:     Free MPS
*
NAME Airplane_Landing_Problem
 u1,6 E1,6 1 S6,1 507
 u1,6 S1,6 -3
 u6,1 E1,6 1 S6,1 -3
 u6,1 S1,6 443
 u1,7 E1,7 1 S7,1 366
 u1,7 S1,7 -15
 u7,1 E1,7 1 S7,1 -15
 u7,1 S1,7 530
 u1,8 E1,8 1 S8,1 421
 u1,8 S1,8 -15
 u8,1 E1,8 1 S8,1 -15
 u8,1 S1,8 511
 u1,9 E1,9 1 S9,1 412
 u1,9 S1,9 -15
 u9,1 E1,9 1 S9,1 -15
 u9,1 S1,9 511
 u1,10 E1,10 1 S10,1 458
 u1,10 S1,10 -15
 u10,1 E1,10 1 S10,1 -15
 u10,1 S1,10 496
 u1,11 E1,11 1 S11,1 394
 u1,11 S1,11 -15
 u11,1 E1,11 1 S11,1 -15
 u11,1 S1,11 514
 u1,12 E1,12 1 S12,1 677
 u1,12 S1,12 -3
 u12,1 E1,12 1 S12,1 -3
 u12,1 S1,12 367
 u1,13 E1,13 1 S13,1 633
 u1,13 S1,13 -3
 u13,1 E1,13 1 S13,1 -3
 u13,1 S1,13 378
 u1,14 E1,14 1 S14,1 531
 u1,14 S1,14 -3
 u14,1 E1,14 1 S14,1 -3
 u14,1 S1,14 414
 u1,15 E1,15 1 S15,1 810
 u1,15 S1,15 -3
 u15,1 E1,15 1 S15,1 -3
 u15,1 S1,15 318
 u1,16 E1,16 1 S16,1 661
 u1,16 S1,16 -3
 u16,1 E1,16 1 S16,1 -3
 u16,1 S1,16 359
 u1,17 E1,17 1 S17,1 569
 u1,17 S1,17 -3
 u17,1 E1,17 1 S17,1 -3
 u17,1 S1,17 391
 u1,18 E1,18 1 S18,1 450
 u1,18 S1,18 -15
 u18,1 E1,18 1 S18,1 -15
 u18,1 S1,18 484
 u1,19 E1,19 1 S19,1 467
 u1,19 S1,19 -15
 u19,1 E1,19 1 S19,1 -15
 u19,1 S1,19 477
 u2,3 E2,3 1 S3,2 431
 u2,3 S2,3 -15
 u3,2 E2,3 1 S3,2 -15
 u3,2 S2,3 458
 u2,4 E2,4 1 S4,2 601
 u2,4 S2,4 -3
 u4,2 E2,4 1 S4,2 -3
 u4,2 S2,4 360
 u2,5 E2,5 1 S5,2 390
 u2,5 S2,5 -15
 u5,2 E2,5 1 S5,2 -15
 u5,2 S2,5 466
 u2,6 E2,6 1 S6,2 530
 u2,6 S2,6 -3
 u6,2 E2,6 1 S6,2 -3
 u6,2 S2,6 376
 u2,7 E2,7 1 S7,2 389
 u2,7 S2,7 -15
 u7,2 E2,7 1 S7,2 -15
 u7,2 S2,7 463
 u2,8 E2,8 1 S8,2 444
 u2,8 S2,8 -15
 u8,2 E2,8 1 S8,2 -15
 u8,2 S2,8 444
 u2,9 E2,9 1 S9,2 435
 u2,9 S2,9 -15
 u9,2 E2,9 1 S9,2 -15
 u9,2 S2,9 444
 u2,10 E2,10 1 S10,2 481
 u2,10 S2,10 -15
 u10,2 E2,10 1 S10,2 -15
 u10,2 S2,10 429
 u2,11 E2,11 1 S11,2 417
 u2,11 S2,11 -15
 u11,2 E2,11 1 S11,2 -15
 u11,2 S2,11 447
 u2,12 E2,12 1 S12,2 700
 u2,12 S2,12 -3
 u12,2 E2,12 1 S12,2 -3
 u12,2 S2,12 300
 u2,13 E2,13 1 S13,2 656
 u2,13 S2,13 -3
 u13,2 E2,13 1 S13,2 -3
 u13,2 S2,13 311
 u2,14 E2,14 1 S14,2 554
 u2,14 S2,14 -3
 u14,2 E2,14 1 S14,2 -3
 u14,2 S2,14 347
 u2,15 E2,15 1 S15,2 833
 u2,15 S2,15 -3
 u15,2 E2,15 1 S15,2 -3
 u15,2 S2,15 251
 u2,16 E2,16 1 S16,2 684
 u2,16 S2,16 -3
 u16,2 E2,16 1 S16,2 -3
 u16,2 S2,16 292
 u2,17 E2,17 1 S17,2 592
 u2,17 S2,17 -3
 u17,2 E2,17 1 S17,2 -3
 u17,2 S2,17 324
 u2,18 E2,18 1 S18,2 473
 u2,18 S2,18 -15
 u18,2 E2,18 1 S18,2 -15
 u18,2 S2,18 417
 u2,19 E2,19 1 S19,2 490
 u2,19 S2,19 -15
 u19,2 E2,19 1 S19,2 -15
 u19,2 S2,19 410
 u3,4 E3,4 1 S4,3 632
 u3,4 S3,4 -15
 u4,3 E3,4 1 S4,3 -15
 u4,3 S3,4 364
 u3,5 E3,5 1 S5,3 421
 u3,5 S3,5 -8
 u5,3 E3,5 1 S5,3 -8
 u5,3 S3,5 470
 u3,6 E3,6 1 S6,3 561
 u3,6 S3,6 -15
 u6,3 E3,6 1 S6,3 -15
 u6,3 S3,6 380
 u3,7 E3,7 1 S7,3 420
 u3,7 S3,7 -8
 u7,3 E3,7 1 S7,3 -8
 u7,3 S3,7 467
 u3,8 E3,8 1 S8,3 475
 u3,8 S3,8 -8
 u8,3 E3,8 1 S8,3 -8
 u8,3 S3,8 448
 u3,9 E3,9 1 S9,3 466
 u3,9 S3,9 -8
 u9,3 E3,9 1 S9,3 -8
 u9,3 S3,9 448
 u3,10 E3,10 1 S10,3 512
 u3,10 S3,10 -8
 u10,3 E3,10 1 S10,3 -8
 u10,3 S3,10 433
 u3,11 E3,11 1 S11,3 448
 u3,11 S3,11 -8
 u11,3 E3,11 1 S11,3 -8
 u11,3 S3,11 451
 u3,12 E3,12 1 S12,3 731
 u3,12 S3,12 -15
 u12,3 E3,12 1 S12,3 -15
 u12,3 S3,12 304
 u3,13 E3,13 1 S13,3 687
 u3,13 S3,13 -15
 u13,3 E3,13 1 S13,3 -15
 u13,3 S3,13 315
 u3,14 E3,14 1 S14,3 585
 u3,14 S3,14 -15
 u14,3 E3,14 1 S14,3 -15
 u14,3 S3,14 351
 u3,15 E3,15 1 S15,3 864
 u3,15 S3,15 -15
 u15,3 E3,15 1 S15,3 -15
 u15,3 S3,15 255
 u3,16 E3,16 1 S16,3 715
 u3,16 S3,16 -15
 u16,3 E3,16 1 S16,3 -15
 u16,3 S3,16 296
 u3,17 E3,17 1 S17,3 623
 u3,17 S3,17 -15
 u17,3 E3,17 1 S17,3 -15
 u17,3 S3,17 328
 u3,18 E3,18 1 S18,3 504
 u3,18 S3,18 -8
 u18,3 E3,18 1 S18,3 -8
 u18,3 S3,18 421
 u3,19 E3,19 1 S19,3 521
 u3,19 S3,19 -8
 u19,3 E3,19 1 S19,3 -8
 u19,3 S3,19 414
 u4,5 E4,5 1 S5,4 323
 u4,5 S4,5 -15
 u5,4 E4,5 1 S5,4 -15
 u5,4 S4,5 640
 u4,6 E4,6 1 S6,4 463
 u4,6 S4,6 -3
 u6,4 E4,6 1 S6,4 -3
 u6,4 S4,6 550
 u4,7 E4,7 1 S7,4 322
 u4,7 S4,7 -15
 u7,4 E4,7 1 S7,4 -15
 u7,4 S4,7 637
 u4,8 E4,8 1 S8,4 377
 u4,8 S4,8 -15
 u8,4 E4,8 1 S8,4 -15
 u8,4 S4,8 618
 u4,9 E4,9 1 S9,4 368
 u4,9 S4,9 -15
 u9,4 E4,9 1 S9,4 -15
 u9,4 S4,9 618
 u4,10 E4,10 1 S10,4 414
 u4,10 S4,10 -15
 u10,4 E4,10 1 S10,4 -15
 u10,4 S4,10 603
 u4,11 E4,11 1 S11,4 350
 u4,11 S4,11 -15
 u11,4 E4,11 1 S11,4 -15
 u11,4 S4,11 621
 u4,12 E4,12 1 S12,4 633
 u4,12 S4,12 -3
 u12,4 E4,12 1 S12,4 -3
 u12,4 S4,12 474
 u4,13 E4,13 1 S13,4 589
 u4,13 S4,13 -3
 u13,4 E4,13 1 S13,4 -3
 u13,4 S4,13 485
 u4,14 E4,14 1 S14,4 487
 u4,14 S4,14 -3
 u14,4 E4,14 1 S14,4 -3
 u14,4 S4,14 521
 u4,15 E4,15 1 S15,4 766
 u4,15 S4,15 -3
 u15,4 E4,15 1 S15,4 -3
 u15,4 S4,15 425
 u4,16 E4,16 1 S16,4 617
 u4,16 S4,16 -3
 u16,4 E4,16 1 S16,4 -3
 u16,4 S4,16 466
 u4,17 E4,17 1 S17,4 525
 u4,17 S4,17 -3
 u17,4 E4,17 1 S17,4 -3
 u17,4 S4,17 498
 u4,18 E4,18 1 S18,4 406
 u4,18 S4,18 -15
 u18,4 E4,18 1 S18,4 -15
 u18,4 S4,18 591
 u4,19 E4,19 1 S19,4 423
 u4,19 S4,19 -15
 u19,4 E4,19 1 S19,4 -15
 u19,4 S4,19 584
 u5,6 E5,6 1 S6,5 569
 u5,6 S5,6 -15
 u6,5 E5,6 1 S6,5 -15
 u6,5 S5,6 339
 u5,7 E5,7 1 S7,5 428
 u5,7 S5,7 -8
 u7,5 E5,7 1 S7,5 -8
 u7,5 S5,7 426
 u5,8 E5,8 1 S8,5 483
 u5,8 S5,8 -8
 u8,5 E5,8 1 S8,5 -8
 u8,5 S5,8 407
 u5,9 E5,9 1 S9,5 474
 u5,9 S5,9 -8
 u9,5 E5,9 1 S9,5 -8
 u9,5 S5,9 407
 u5,10 E5,10 1 S10,5 520
 u5,10 S5,10 -8
 u10,5 E5,10 1 S10,5 -8
 u10,5 S5,10 392
 u5,11 E5,11 1 S11,5 456
 u5,11 S5,11 -8
 u11,5 E5,11 1 S11,5 -8
 u11,5 S5,11 410
 u5,12 E5,12 1 S12,5 739
 u5,12 S5,12 -15
 u12,5 E5,12 1 S12,5 -15
 u12,5 S5,12 263
 u5,13 E5,13 1 S13,5 695
 u5,13 S5,13 -15
 u13,5 E5,13 1 S13,5 -15
 u13,5 S5,13 274
 u5,14 E5,14 1 S14,5 593
 u5,14 S5,14 -15
 u14,5 E5,14 1 S14,5 -15
 u14,5 S5,14 310
 u5,15 E5,15 1 S15,5 872
 u5,15 S5,15 -15
 u15,5 E5,15 1 S15,5 -15
 u15,5 S5,15 214
 u5,16 E5,16 1 S16,5 723
 u5,16 S5,16 -15
 u16,5 E5,16 1 S16,5 -15
 u16,5 S5,16 255
 u5,17 E5,17 1 S17,5 631
 u5,17 S5,17 -15
 u17,5 E5,17 1 S17,5 -15
 u17,5 S5,17 287
 u5,18 E5,18 1 S18,5 512
 u5,18 S5,18 -8
 u18,5 E5,18 1 S18,5 -8
 u18,5 S5,18 380
 u5,19 E5,19 1 S19,5 529
 u5,19 S5,19 -8
 u19,5 E5,19 1 S19,5 -8
 u19,5 S5,19 373
 u6,7 E6,7 1 S7,6 338
 u6,7 S6,7 -15
 u7,6 E6,7 1 S7,6 -15
 u7,6 S6,7 566
 u6,8 E6,8 1 S8,6 393
 u6,8 S6,8 -15
 u8,6 E6,8 1 S8,6 -15
 u8,6 S6,8 547
 u6,9 E6,9 1 S9,6 384
 u6,9 S6,9 -15
 u9,6 E6,9 1 S9,6 -15
 u9,6 S6,9 547
 u6,10 E6,10 1 S10,6 430
 u6,10 S6,10 -15
 u10,6 E6,10 1 S10,6 -15
 u10,6 S6,10 532
 u6,11 E6,11 1 S11,6 366
 u6,11 S6,11 -15
 u11,6 E6,11 1 S11,6 -15
 u11,6 S6,11 550
 u6,12 E6,12 1 S12,6 649
 u6,12 S6,12 -3
 u12,6 E6,12 1 S12,6 -3
 u12,6 S6,12 403
 u6,13 E6,13 1 S13,6 605
 u6,13 S6,13 -3
 u13,6 E6,13 1 S13,6 -3
 u13,6 S6,13 414
 u6,14 E6,14 1 S14,6 503
 u6,14 S6,14 -3
 u14,6 E6,14 1 S14,6 -3
 u14,6 S6,14 450
 u6,15 E6,15 1 S15,6 782
 u6,15 S6,15 -3
 u15,6 E6,15 1 S15,6 -3
 u15,6 S6,15 354
 u6,16 E6,16 1 S16,6 633
 u6,16 S6,16 -3
 u16,6 E6,16 1 S16,6 -3
 u16,6 S6,16 395
 u6,17 E6,17 1 S17,6 541
 u6,17 S6,17 -3
 u17,6 E6,17 1 S17,6 -3
 u17,6 S6,17 427
 u6,18 E6,18 1 S18,6 422
 u6,18 S6,18 -15
 u18,6 E6,18 1 S18,6 -15
 u18,6 S6,18 520
 u6,19 E6,19 1 S19,6 439
 u6,19 S6,19 -15
 u19,6 E6,19 1 S19,6 -15
 u19,6 S6,19 513
 u7,8 E7,8 1 S8,7 480
 u7,8 S7,8 -8
 u8,7 E7,8 1 S8,7 -8
 u8,7 S7,8 406
 u7,9 E7,9 1 S9,7 471
 u7,9 S7,9 -8
 u9,7 E7,9 1 S9,7 -8
 u9,7 S7,9 406
 u7,10 E7,10 1 S10,7 517
 u7,10 S7,10 -8
 u10,7 E7,10 1 S10,7 -8
 u10,7 S7,10 391
 u7,11 E7,11 1 S11,7 453
 u7,11 S7,11 -8
 u11,7 E7,11 1 S11,7 -8
 u11,7 S7,11 409
 u7,12 E7,12 1 S12,7 736
 u7,12 S7,12 -15
 u12,7 E7,12 1 S12,7 -15
 u12,7 S7,12 262
 u7,13 E7,13 1 S13,7 692
 u7,13 S7,13 -15
 u13,7 E7,13 1 S13,7 -15
 u13,7 S7,13 273
 u7,14 E7,14 1 S14,7 590
 u7,14 S7,14 -15
 u14,7 E7,14 1 S14,7 -15
 u14,7 S7,14 309
 u7,15 E7,15 1 S15,7 869
 u7,15 S7,15 -15
 u15,7 E7,15 1 S15,7 -15
 u15,7 S7,15 213
 u7,16 E7,16 1 S16,7 720
 u7,16 S7,16 -15
 u16,7 E7,16 1 S16,7 -15
 u16,7 S7,16 254
 u7,17 E7,17 1 S17,7 628
 u7,17 S7,17 -15
 u17,7 E7,17 1 S17,7 -15
 u17,7 S7,17 286
 u7,18 E7,18 1 S18,7 509
 u7,18 S7,18 -8
 u18,7 E7,18 1 S18,7 -8
 u18,7 S7,18 379
 u7,19 E7,19 1 S19,7 526
 u7,19 S7,19 -8
 u19,7 E7,19 1 S19,7 -8
 u19,7 S7,19 372
 u8,9 E8,9 1 S9,8 452
 u8,9 S8,9 -8
 u9,8 E8,9 1 S9,8 -8
 u9,8 S8,9 461
 u8,10 E8,10 1 S10,8 498
 u8,10 S8,10 -8
 u10,8 E8,10 1 S10,8 -8
 u10,8 S8,10 446
 u8,11 E8,11 1 S11,8 434
 u8,11 S8,11 -8
 u11,8 E8,11 1 S11,8 -8
 u11,8 S8,11 464
 u8,12 E8,12 1 S12,8 717
 u8,12 S8,12 -15
 u12,8 E8,12 1 S12,8 -15
 u12,8 S8,12 317
 u8,13 E8,13 1 S13,8 673
 u8,13 S8,13 -15
 u13,8 E8,13 1 S13,8 -15
 u13,8 S8,13 328
 u8,14 E8,14 1 S14,8 571
 u8,14 S8,14 -15
 u14,8 E8,14 1 S14,8 -15
 u14,8 S8,14 364
 u8,15 E8,15 1 S15,8 850
 u8,15 S8,15 -15
 u15,8 E8,15 1 S15,8 -15
 u15,8 S8,15 268
 u8,16 E8,16 1 S16,8 701
 u8,16 S8,16 -15
 u16,8 E8,16 1 S16,8 -15
 u16,8 S8,16 309
 u8,17 E8,17 1 S17,8 609
 u8,17 S8,17 -15
 u17,8 E8,17 1 S17,8 -15
 u17,8 S8,17 341
 u8,18 E8,18 1 S18,8 490
 u8,18 S8,18 -8
 u18,8 E8,18 1 S18,8 -8
 u18,8 S8,18 434
 u8,19 E8,19 1 S19,8 507
 u8,19 S8,19 -8
 u19,8 E8,19 1 S19,8 -8
 u19,8 S8,19 427
 u9,10 E9,10 1 S10,9 498
 u9,10 S9,10 -8
 u10,9 E9,10 1 S10,9 -8
 u10,9 S9,10 437
 u9,11 E9,11 1 S11,9 434
 u9,11 S9,11 -8
 u11,9 E9,11 1 S11,9 -8
 u11,9 S9,11 455
 u9,12 E9,12 1 S12,9 717
 u9,12 S9,12 -15
 u12,9 E9,12 1 S12,9 -15
 u12,9 S9,12 308
 u9,13 E9,13 1 S13,9 673
 u9,13 S9,13 -15
 u13,9 E9,13 1 S13,9 -15
 u13,9 S9,13 319
 u9,14 E9,14 1 S14,9 571
 u9,14 S9,14 -15
 u14,9 E9,14 1 S14,9 -15
 u14,9 S9,14 355
 u9,15 E9,15 1 S15,9 850
 u9,15 S9,15 -15
 u15,9 E9,15 1 S15,9 -15
 u15,9 S9,15 259
 u9,16 E9,16 1 S16,9 701
 u9,16 S9,16 -15
 u16,9 E9,16 1 S16,9 -15
 u16,9 S9,16 300
 u9,17 E9,17 1 S17,9 609
 u9,17 S9,17 -15
 u17,9 E9,17 1 S17,9 -15
 u17,9 S9,17 332
 u9,18 E9,18 1 S18,9 490
 u9,18 S9,18 -8
 u18,9 E9,18 1 S18,9 -8
 u18,9 S9,18 425
 u9,19 E9,19 1 S19,9 507
 u9,19 S9,19 -8
 u19,9 E9,19 1 S19,9 -8
 u19,9 S9,19 418
 u10,11 E10,11 1 S11,10 419
 u10,11 S10,11 -8
 u11,10 E10,11 1 S11,10 -8
 u11,10 S10,11 501
 u10,12 E10,12 1 S12,10 702
 u10,12 S10,12 -15
 u12,10 E10,12 1 S12,10 -15
 u12,10 S10,12 354
 u10,13 E10,13 1 S13,10 658
 u10,13 S10,13 -15
 u13,10 E10,13 1 S13,10 -15
 u13,10 S10,13 365
 u10,14 E10,14 1 S14,10 556
 u10,14 S10,14 -15
 u14,10 E10,14 1 S14,10 -15
 u14,10 S10,14 401
 u10,15 E10,15 1 S15,10 835
 u10,15 S10,15 -15
 u15,10 E10,15 1 S15,10 -15
 u15,10 S10,15 305
 u10,16 E10,16 1 S16,10 686
 u10,16 S10,16 -15
 u16,10 E10,16 1 S16,10 -15
 u16,10 S10,16 346
 u10,17 E10,17 1 S17,10 594
 u10,17 S10,17 -15
 u17,10 E10,17 1 S17,10 -15
 u17,10 S10,17 378
 u10,18 E10,18 1 S18,10 475
 u10,18 S10,18 -8
 u18,10 E10,18 1 S18,10 -8
 u18,10 S10,18 471
 u10,19 E10,19 1 S19,10 492
 u10,19 S10,19 -8
 u19,10 E10,19 1 S19,10 -8
 u19,10 S10,19 464
 u11,12 E11,12 1 S12,11 720
 u11,12 S11,12 -15
 u12,11 E11,12 1 S12,11 -15
 u12,11 S11,12 290
 u11,13 E11,13 1 S13,11 676
 u11,13 S11,13 -15
 u13,11 E11,13 1 S13,11 -15
 u13,11 S11,13 301
 u11,14 E11,14 1 S14,11 574
 u11,14 S11,14 -15
 u14,11 E11,14 1 S14,11 -15
 u14,11 S11,14 337
 u11,15 E11,15 1 S15,11 853
 u11,15 S11,15 -15
 u15,11 E11,15 1 S15,11 -15
 u15,11 S11,15 241
 u11,16 E11,16 1 S16,11 704
 u11,16 S11,16 -15
 u16,11 E11,16 1 S16,11 -15
 u16,11 S11,16 282
 u11,17 E11,17 1 S17,11 612
 u11,17 S11,17 -15
 u17,11 E11,17 1 S17,11 -15
 u17,11 S11,17 314
 u11,18 E11,18 1 S18,11 493
 u11,18 S11,18 -8
 u18,11 E11,18 1 S18,11 -8
 u18,11 S11,18 407
 u11,19 E11,19 1 S19,11 510
 u11,19 S11,19 -8
 u19,11 E11,19 1 S19,11 -8
 u19,11 S11,19 400
 u12,13 E12,13 1 S13,12 529
 u12,13 S12,13 -3
 u13,12 E12,13 1 S13,12 -3
 u13,12 S12,13 584
 u12,14 E12,14 1 S14,12 427
 u12,14 S12,14 -3
 u14,12 E12,14 1 S14,12 -3
 u14,12 S12,14 620
 u12,15 E12,15 1 S15,12 706
 u12,15 S12,15 -3
 u15,12 E12,15 1 S15,12 -3
 u15,12 S12,15 524
 u12,16 E12,16 1 S16,12 557
 u12,16 S12,16 -3
 u16,12 E12,16 1 S16,12 -3
 u16,12 S12,16 565
 u12,17 E12,17 1 S17,12 465
 u12,17 S12,17 -3
 u17,12 E12,17 1 S17,12 -3
 u17,12 S12,17 597
 u12,18 E12,18 1 S18,12 346
 u12,18 S12,18 -15
 u18,12 E12,18 1 S18,12 -15
 u18,12 S12,18 690
 u12,19 E12,19 1 S19,12 363
 u12,19 S12,19 -15
 u19,12 E12,19 1 S19,12 -15
 u19,12 S12,19 683
 u13,14 E13,14 1 S14,13 438
 u13,14 S13,14 -3
 u14,13 E13,14 1 S14,13 -3
 u14,13 S13,14 576
 u13,15 E13,15 1 S15,13 717
 u13,15 S13,15 -3
 u15,13 E13,15 1 S15,13 -3
 u15,13 S13,15 480
 u13,16 E13,16 1 S16,13 568
 u13,16 S13,16 -3
 u16,13 E13,16 1 S16,13 -3
 u16,13 S13,16 521
 u13,17 E13,17 1 S17,13 476
 u13,17 S13,17 -3
 u17,13 E13,17 1 S17,13 -3
 u17,13 S13,17 553
 u13,18 E13,18 1 S18,13 357
 u13,18 S13,18 -15
 u18,13 E13,18 1 S18,13 -15
 u18,13 S13,18 646
 u13,19 E13,19 1 S19,13 374
 u13,19 S13,19 -15
 u19,13 E13,19 1 S19,13 -15
 u19,13 S13,19 639
 u14,15 E14,15 1 S15,14 753
 u14,15 S14,15 -3
 u15,14 E14,15 1 S15,14 -3
 u15,14 S14,15 378
 u14,16 E14,16 1 S16,14 604
 u14,16 S14,16 -3
 u16,14 E14,16 1 S16,14 -3
 u16,14 S14,16 419
 u14,17 E14,17 1 S17,14 512
 u14,17 S14,17 -3
 u17,14 E14,17 1 S17,14 -3
 u17,14 S14,17 451
 u14,18 E14,18 1 S18,14 393
 u14,18 S14,18 -15
 u18,14 E14,18 1 S18,14 -15
 u18,14 S14,18 544
 u14,19 E14,19 1 S19,14 410
 u14,19 S14,19 -15
 u19,14 E14,19 1 S19,14 -15
 u19,14 S14,19 537
 u15,16 E15,16 1 S16,15 508
 u15,16 S15,16 -3
 u16,15 E15,16 1 S16,15 -3
 u16,15 S15,16 698
 u15,17 E15,17 1 S17,15 416
 u15,17 S15,17 -3
 u17,15 E15,17 1 S17,15 -3
 u17,15 S15,17 730
 u15,18 E15,18 1 S18,15 297
 u15,18 S15,18 -15
 u18,15 E15,18 1 S18,15 -15
 u18,15 S15,18 823
 u15,19 E15,19 1 S19,15 314
 u15,19 S15,19 -15
 u19,15 E15,19 1 S19,15 -15
 u19,15 S15,19 816
 u16,17 E16,17 1 S17,16 457
 u16,17 S16,17 -3
 u17,16 E16,17 1 S17,16 -3
 u17,16 S16,17 581
 u16,18 E16,18 1 S18,16 338
 u16,18 S16,18 -15
 u18,16 E16,18 1 S18,16 -15
 u18,16 S16,18 674
 u16,19 E16,19 1 S19,16 355
 u16,19 S16,19 -15
 u19,16 E16,19 1 S19,16 -15
 u19,16 S16,19 667
 u17,18 E17,18 1 S18,17 370
 u17,18 S17,18 -15
 u18,17 E17,18 1 S18,17 -15
 u18,17 S17,18 582
 u17,19 E17,19 1 S19,17 387
 u17,19 S17,19 -15
 u19,17 E17,19 1 S19,17 -15
 u19,17 S17,19 575
 u18,19 E18,19 1 S19,18 480
 u18,19 S18,19 -8
 u19,18 E18,19 1 S19,18 -8
 u19,18 S18,19 456
 M0000002 'MARKER' 'INTEND'
RHS
 RHS1 bc0 82 bc1 197
 RHS1 bc2 160 bc3 117
 RHS1 bc4 261 bc5 106
 RHS1 bc6 229 bc7 108
 RHS1 bc8 132 bc9 130
 RHS1 bc10 149 bc11 126
 RHS1 bc12 336 bc13 316
 RHS1 bc14 258 bc15 409
 RHS1 bc16 338 bc17 287
 RHS1 bc18 160 bc19 169
 RHS1 E0,1 1 E0,2 1
 RHS1 E0,3 1 E0,4 1
 RHS1 E0,5 1 E0,6 1
 RHS1 E0,7 1 E0,8 1
 RHS1 E0,9 1 E0,10 1
 RHS1 E0,11 1 E0,12 1
 RHS1 E0,13 1 E0,14 1
 RHS1 E0,15 1 E0,16 1
 RHS1 E0,17 1 E0,18 1
 RHS1 E0,19 1 E1,2 1
 RHS1 E1,3 1 E1,4 1
 RHS1 E1,5 1 E1,6 1
 RHS1 E1,7 1 E1,8 1
 RHS1 E1,9 1 E1,10 1
 RHS1 E1,11 1 E1,12 1
 RHS1 E1,13 1 E1,14 1
 RHS1 E1,15 1 E1,16 1
 RHS1 E1,17 1 E1,18 1
 RHS1 E1,19 1 E2,3 1
 RHS1 E2,4 1 E2,5 1
 RHS1 E2,6 1 E2,7 1
 RHS1 E2,8 1 E2,9 1
 RHS1 E2,10 1 E2,11 1
 RHS1 E2,12 1 E2,13 1
 RHS1 E2,14 1 E2,15 1
 RHS1 E2,16 1 E2,17 1
 RHS1 E2,18 1 E2,19 1
 RHS1 E3,4 1 E3,5 1
 RHS1 E3,6 1 E3,7 1
 RHS1 E3,8 1 E3,9 1
 RHS1 E3,10 1 E3,11 1
 RHS1 E3,12 1 E3,13 1
 RHS1 E3,14 1 E3,15 1
 RHS1 E3,16 1 E3,17 1
 RHS1 E3,18 1 E3,19 1
 RHS1 E4,5 1 E4,6 1
 RHS1 E4,7 1 E4,8 1
 RHS1 E4,9 1 E4,10 1
 RHS1 E4,11 1 E4,12 1
 RHS1 E4,13 1 E4,14 1
 RHS1 E4,15 1 E4,16 1
 RHS1 E4,17 1 E4,18 1
 RHS1 E4,19 1 E5,6 1
 RHS1 E5,7 1 E5,8 1
 RHS1 E5,9 1 E5,10 1
 RHS1 E5,11 1 E5,12 1
 RHS1 E5,13 1 E5,14 1
 RHS1 E5,15 1 E5,16 1
 RHS1 E5,17 1 E5,18 1
 RHS1 E5,19 1 E6,7 1
 RHS1 E6,8 1 E6,9 1
 RHS1 E6,10 1 E6,11 1
 RHS1 E6,12 1 E6,13 1
 RHS1 E6,14 1 E6,15 1
 RHS1 E6,16 1 E6,17 1
 RHS1 E6,18 1 E6,19 1
 RHS1 E7,8 1 E7,9 1
 RHS1 E7,10 1 E7,11 1
 RHS1 E7,12 1 E7,13 1
 RHS1 E7,14 1 E7,15 1
 RHS1 E7,16 1 E7,17 1
 RHS1 E7,18 1 E7,19 1
 RHS1 E8,9 1 E8,10 1
 RHS1 E8,11 1 E8,12 1
 RHS1 E8,13 1 E8,14 1
 RHS1 E8,15 1 E8,16 1
 RHS1 E8,17 1 E8,18 1
 RHS1 E8,19 1 E9,10 1
 RHS1 E9,11 1 E9,12 1
 RHS1 E9,13 1 E9,14 1
 RHS1 E9,15 1 E9,16 1
 RHS1 E9,17 1 E9,18 1
 RHS1 E9,19 1 E10,11 1
 RHS1 E10,12 1 E10,13 1
 RHS1 E10,14 1 E10,15 1
 RHS1 E10,16 1 E10,17 1
 RHS1 E10,18 1 E10,19 1
 RHS1 E11,12 1 E11,13 1
 RHS1 E11,14 1 E11,15 1
 RHS1 E11,16 1 E11,17 1
 RHS1 E11,18 1 E11,19 1
 RHS1 E12,13 1 E12,14 1
 RHS1 E12,15 1 E12,16 1
 RHS1 E12,17 1 E12,18 1
 RHS1 E12,19 1 E13,14 1
 RHS1 E13,15 1 E13,16 1
 RHS1 E13,17 1 E13,18 1
 RHS1 E13,19 1 E14,15 1
 RHS1 E14,16 1 E14,17 1
 RHS1 E14,18 1 E14,19 1
 RHS1 E15,16 1 E15,17 1
 RHS1 E15,18 1 E15,19 1
 RHS1 E16,17 1 E16,18 1
 RHS1 E16,19 1 E17,18 1
 RHS1 E17,19 1 E18,19 1
BOUNDS
 LO BND1 x0 75
 UP BND1 x0 486
 LO BND1 x1 157
 UP BND1 x1 628
 LO BND1 x2 134
 UP BND1 x2 561
 LO BND1 x3 103
 UP BND1 x3 565
 LO BND1 x4 201
 UP BND1 x4 735
 LO BND1 x5 95
 UP BND1 x5 524
 LO BND1 x6 185
 UP BND1 x6 664
 LO BND1 x7 98
 UP BND1 x7 523
 LO BND1 x8 117
 UP BND1 x8 578
 LO BND1 x9 117
 UP BND1 x9 569
 LO BND1 x10 132
 UP BND1 x10 615
 LO BND1 x11 114
 UP BND1 x11 551
 LO BND1 x12 261
 UP BND1 x12 834
 LO BND1 x13 250
 UP BND1 x13 790
 LO BND1 x14 214
 UP BND1 x14 688
 LO BND1 x15 310
 UP BND1 x15 967
 LO BND1 x16 269
 UP BND1 x16 818
 LO BND1 x17 237
 UP BND1 x17 726
